state,u,v,zone_u,zone_v,active,zone_allowed,mask_u,mask_v,feasible_edge,delay_ms,bandwidth_mbps,qos_weight
NORMAL,0,8,Core,FIN,True,True,True,True,True,32.088462,200.000000,37.088462
NORMAL,0,6,Core,DMZ,True,True,True,True,True,29.407881,150.000000,36.074548
NORMAL,0,7,Core,FIN,True,True,True,True,True,39.146782,300.000000,42.480116
NORMAL,1,0,Core,Core,True,True,True,True,True,9.483977,300.000000,12.817310
NORMAL,1,4,Core,Core,True,True,True,True,True,17.977931,100.000000,27.977931
NORMAL,2,1,Core,Core,True,True,True,True,True,33.796656,500.000000,35.796656
NORMAL,2,0,Core,Core,True,True,True,True,True,12.953355,50.000000,32.953355
NORMAL,3,0,Core,Core,True,True,True,True,True,33.967091,200.000000,38.967091
NORMAL,4,3,Core,Core,True,True,True,True,True,31.533071,300.000000,34.866404
NORMAL,5,2,DMZ,Core,True,True,True,True,True,36.259239,150.000000,42.925906
NORMAL,5,4,DMZ,Core,True,True,True,True,True,11.812355,150.000000,18.479021
NORMAL,6,5,DMZ,DMZ,True,True,True,True,True,10.400132,150.000000,17.066799
NORMAL,7,5,FIN,DMZ,True,False,True,True,False,31.066675,150.000000,37.733342
NORMAL,8,6,FIN,DMZ,True,False,True,True,False,17.966090,500.000000,19.966090
NORMAL,10,9,HR,HR,True,True,True,True,True,11.631498,150.000000,18.298164
NORMAL,11,10,HR,HR,True,True,True,True,True,12.941827,50.000000,32.941827
NORMAL,11,9,HR,HR,True,True,True,True,True,20.300317,50.000000,40.300317
NORMAL,12,11,HR,HR,True,True,True,True,True,15.932832,300.000000,19.266166
NORMAL,12,0,HR,Core,True,True,True,True,True,33.166753,500.000000,35.166753
NORMAL,13,12,HR,HR,True,True,True,True,True,28.887343,150.000000,35.554009
NORMAL,13,18,HR,IT,True,False,True,True,False,11.996787,300.000000,15.330120
NORMAL,14,11,IT,HR,True,True,True,True,True,28.269780,50.000000,48.269780
NORMAL,14,12,IT,HR,True,True,True,True,True,32.325516,200.000000,37.325516
