state,u,v,zone_u,zone_v,active,delay_ms,bandwidth_mbps,loss_rate,qos_weight_delay_plus_1000_over_bw
NORMAL,0,8,Core,FIN,True,32.088462,200.000000,0.004307,37.088462
NORMAL,0,6,Core,DMZ,True,29.407881,150.000000,0.000561,36.074548
NORMAL,0,7,Core,FIN,True,39.146782,300.000000,0.003952,42.480116
NORMAL,1,0,Core,Core,True,9.483977,300.000000,0.002307,12.817310
NORMAL,1,4,Core,Core,True,17.977931,100.000000,0.003255,27.977931
NORMAL,2,1,Core,Core,True,33.796656,500.000000,0.002273,35.796656
NORMAL,2,0,Core,Core,True,12.953355,50.000000,0.000413,32.953355
NORMAL,3,0,Core,Core,True,33.967091,200.000000,0.003195,38.967091
NORMAL,4,3,Core,Core,True,31.533071,300.000000,0.004856,34.866404
NORMAL,5,2,DMZ,Core,True,36.259239,150.000000,0.003914,42.925906
NORMAL,5,4,DMZ,Core,True,11.812355,150.000000,0.000315,18.479021
NORMAL,6,5,DMZ,DMZ,True,10.400132,150.000000,0.003447,17.066799
NORMAL,7,5,FIN,DMZ,True,31.066675,150.000000,0.001697,37.733342
NORMAL,8,6,FIN,DMZ,True,17.966090,500.000000,0.002401,19.966090
NORMAL,10,9,HR,HR,True,11.631498,150.000000,0.002431,18.298164
NORMAL,11,10,HR,HR,True,12.941827,50.000000,0.003382,32.941827
NORMAL,11,9,HR,HR,True,20.300317,50.000000,0.003531,40.300317
NORMAL,12,11,HR,HR,True,15.932832,300.000000,0.004178,19.266166
NORMAL,12,0,HR,Core,True,33.166753,500.000000,0.001513,35.166753
NORMAL,13,12,HR,HR,True,28.887343,150.000000,0.000785,35.554009
NORMAL,13,18,HR,IT,True,11.996787,300.000000,0.003956,15.330120
NORMAL,14,11,IT,HR,True,28.269780,50.000000,0.003555,48.269780
NORMAL,14,12,IT,HR,True,32.325516,200.000000,0.002887,37.325516
NORMAL,14,8,IT,FIN,True,9.892895,150.000000,0.000661,16.559562
NORMAL,15,14,IT,IT,True,28.394104,200.000000,0.002870,33.394104
NORMAL,15,13,IT,HR,True,31.774960,150.000000,0.003210,38.441627
NORMAL,15,11,IT,HR,True,24.375279,50.000000,0.001589,44.375279
NORMAL,16,15,IT,IT,True,6.078624,200.000000,0.002240,11.078624
NORMAL,16,13,IT,HR,True,12.510464,100.000000,0.004282,22.510464
NORMAL,17,16,IT,IT,True,13.187882,150.000000,0.000386,19.854549
NORMAL,17,18,IT,IT,True,14.848436,500.000000,0.003343,16.848436
NORMAL,17,13,IT,HR,True,24.496125,100.000000,0.003941,34.496125
NORMAL,18,0,IT,Core,True,28.250974,150.000000,0.004089,34.917641
BW_CONGESTION,0,8,Core,FIN,True,32.088462,200.000000,0.004307,37.088462
BW_CONGESTION,0,6,Core,DMZ,True,29.407881,150.000000,0.000561,36.074548
BW_CONGESTION,0,7,Core,FIN,True,39.146782,300.000000,0.003952,42.480116
BW_CONGESTION,1,0,Core,Core,True,9.483977,300.000000,0.002307,12.817310
BW_CONGESTION,1,4,Core,Core,True,17.977931,100.000000,0.003255,27.977931
BW_CONGESTION,2,1,Core,Core,True,33.796656,500.000000,0.002273,35.796656
BW_CONGESTION,2,0,Core,Core,True,12.953355,50.000000,0.000413,32.953355
BW_CONGESTION,3,0,Core,Core,True,33.967091,200.000000,0.003195,38.967091
BW_CONGESTION,4,3,Core,Core,True,31.533071,300.000000,0.004856,34.866404
BW_CONGESTION,5,2,DMZ,Core,True,36.259239,150.000000,0.003914,42.925906
BW_CONGESTION,5,4,DMZ,Core,True,11.812355,150.000000,0.000315,18.479021
BW_CONGESTION,6,5,DMZ,DMZ,True,10.400132,150.000000,0.003447,17.066799
BW_CONGESTION,7,5,FIN,DMZ,True,31.066675,150.000000,0.001697,37.733342
BW_CONGESTION,8,6,FIN,DMZ,True,17.966090,500.000000,0.002401,19.966090
BW_CONGESTION,10,9,HR,HR,True,11.631498,150.000000,0.002431,18.298164
BW_CONGESTION,11,10,HR,HR,True,12.941827,50.000000,0.003382,32.941827
BW_CONGESTION,11,9,HR,HR,True,20.300317,50.000000,0.003531,40.300317
BW_CONGESTION,12,11,HR,HR,True,15.932832,300.000000,0.004178,19.266166
BW_CONGESTION,12,0,HR,Core,True,33.166753,500.000000,0.001513,35.166753
BW_CONGESTION,13,12,HR,HR,True,28.887343,150.000000,0.000785,35.554009
BW_CONGESTION,13,18,HR,IT,True,11.996787,300.000000,0.003956,15.330120
BW_CONGESTION,14,11,IT,HR,True,28.269780,50.000000,0.003555,48.269780
BW_CONGESTION,14,12,IT,HR,True,32.325516,10.000000,0.002887,132.325516
BW_CONGESTION,14,8,IT,FIN,True,9.892895,150.000000,0.000661,16.559562
